"filename", "language", "PostCSS", "JavaScript", "XML", "PHP", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\css\bootstrap.css", "PostCSS", 8077, 0, 0, 0, 0, 0, 15, 937, 9029
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\css\bootstrap.min.css", "PostCSS", 6, 0, 0, 0, 0, 0, 1, 1, 8
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\css\custom.css", "PostCSS", 44, 0, 0, 0, 0, 0, 8, 10, 62
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\css\icons.css", "PostCSS", 12553, 0, 0, 0, 0, 0, 139, 6167, 18859
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\css\icons.min.css", "PostCSS", 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\data\ajax_children.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\data\ajax_roots.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\fonts\Simple-Line-Icons.svg", "XML", 0, 0, 211, 0, 0, 0, 0, 0, 211
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\fonts\dropify.svg", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\fonts\fa-brands-400.svg", "XML", 0, 0, 3296, 0, 0, 0, 4, 1, 3301
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\fonts\fa-regular-400.svg", "XML", 0, 0, 799, 0, 0, 0, 4, 1, 804
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\fonts\fa-solid-900.svg", "XML", 0, 0, 4516, 0, 0, 0, 4, 1, 4521
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\fonts\feather.svg", "XML", 0, 0, 295, 0, 0, 0, 3, 552, 850
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\fonts\footable.svg", "XML", 0, 0, 78, 0, 0, 0, 0, 0, 78
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\fonts\line-awesome.svg", "XML", 0, 0, 2624, 0, 0, 0, 3, 2, 2629
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\fonts\materialdesignicons-webfont.svg", "XML", 0, 0, 10797, 0, 0, 0, 0, 1, 10798
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\images\error.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\images\maintenance.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\images\maker-launch.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\images\update.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\app.js", "JavaScript", 0, 246, 0, 0, 0, 0, 53, 45, 344
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\app.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 1, 3
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\apexcharts.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\britechart.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\calendar.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\chartist.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\chartjs.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\coming-soon.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\dashboard-1.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
